neighbourhood_group,neighbourhood,room_type,price,availability_365
Manhattan,East Village,Entire home_apt,110,0
Brooklyn,Williamsburg,Private room,106,0
Manhattan,Harlem,Entire home_apt,115,4
Queens,Arverne,Entire home_apt,120,14
Queens,Arverne,Entire home_apt,300,344
Brooklyn,Sheepshead Bay,Private room,59,319
Queens,Ditmars Steinway,Entire home_apt,140,363
Brooklyn,Park Slope,Private room,99,1
Queens,Long Island City,Private room,52,0
Manhattan,East Village,Entire home_apt,125,0
Queens,Corona,Private room,150,363
Manhattan,Harlem,Private room,65,196
Manhattan,Gramercy,Entire home_apt,249,0
Manhattan,Morningside Heights,Private room,84,0
Queens,Astoria,Private room,53,0
Manhattan,Midtown,Entire home_apt,340,0
Brooklyn,Bushwick,Private room,80,0
Brooklyn,Prospect-Lefferts Gardens,Entire home_apt,75,0
Brooklyn,Bedford-Stuyvesant,Private room,80,140
Brooklyn,Williamsburg,Private room,78,0
Brooklyn,Williamsburg,Entire home_apt,149,0
Brooklyn,Fort Greene,Private room,80,251
Brooklyn,Crown Heights,Entire home_apt,115,0
Manhattan,Upper West Side,Private room,90,60
Brooklyn,Williamsburg,Entire home_apt,175,0
Manhattan,Midtown,Entire home_apt,350,364
Manhattan,East Village,Entire home_apt,194,0
Manhattan,Chelsea,Entire home_apt,175,0
Manhattan,Chelsea,Entire home_apt,350,0
Manhattan,Harlem,Private room,63,0
Brooklyn,Park Slope,Entire home_apt,150,94
Manhattan,West Village,Entire home_apt,180,0
Brooklyn,Bushwick,Private room,64,14
Manhattan,Greenwich Village,Entire home_apt,185,35
Manhattan,Harlem,Private room,80,173
Manhattan,Harlem,Entire home_apt,75,0
Staten Island,Tompkinsville,Entire home_apt,105,343
Queens,Long Island City,Entire home_apt,130,197
Manhattan,West Village,Entire home_apt,264,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,215,0
Manhattan,Upper East Side,Private room,85,128
Queens,Ridgewood,Private room,35,0
Queens,Ditmars Steinway,Private room,50,358
Brooklyn,Red Hook,Entire home_apt,145,0
Manhattan,Lower East Side,Entire home_apt,150,0
Brooklyn,Prospect Heights,Entire home_apt,175,0
Bronx,Longwood,Private room,680,0
Manhattan,Chelsea,Entire home_apt,900,24
Brooklyn,Williamsburg,Private room,95,0
Brooklyn,Williamsburg,Private room,60,96
Brooklyn,Bay Ridge,Private room,70,288
Manhattan,Upper East Side,Entire home_apt,240,158
Brooklyn,Bushwick,Entire home_apt,150,0
Manhattan,Washington Heights,Entire home_apt,150,0
Manhattan,Upper West Side,Entire home_apt,175,0
Manhattan,Upper West Side,Entire home_apt,1000,364
Brooklyn,Bedford-Stuyvesant,Private room,48,0
Brooklyn,Williamsburg,Private room,42,0
Manhattan,Washington Heights,Private room,80,326
Brooklyn,Crown Heights,Entire home_apt,150,342
Manhattan,Battery Park City,Entire home_apt,195,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,145,105
Manhattan,Harlem,Private room,75,0
Queens,Long Island City,Entire home_apt,85,0
Brooklyn,Williamsburg,Entire home_apt,90,4
Brooklyn,Bedford-Stuyvesant,Private room,53,0
Manhattan,East Village,Entire home_apt,155,164
Brooklyn,Williamsburg,Private room,49,181
Brooklyn,Bedford-Stuyvesant,Private room,78,158
Manhattan,East Village,Private room,100,0
Brooklyn,Bedford-Stuyvesant,Private room,85,0
Queens,Long Island City,Private room,225,365
Brooklyn,Williamsburg,Private room,199,346
Manhattan,Greenwich Village,Entire home_apt,350,0
Manhattan,Harlem,Entire home_apt,120,0
Queens,Ozone Park,Private room,70,310
Manhattan,Upper West Side,Entire home_apt,250,39
Manhattan,Midtown,Private room,180,261
Brooklyn,Park Slope,Entire home_apt,145,8
Manhattan,Inwood,Entire home_apt,130,0
Queens,Arverne,Private room,149,361
Manhattan,Upper West Side,Private room,60,0
Manhattan,Lower East Side,Entire home_apt,140,29
Brooklyn,Prospect-Lefferts Gardens,Private room,60,0
Brooklyn,Park Slope,Entire home_apt,350,0
Brooklyn,Williamsburg,Entire home_apt,175,0
Manhattan,Chelsea,Private room,110,0
Manhattan,Harlem,Entire home_apt,177,199
Brooklyn,Park Slope,Entire home_apt,275,70
Queens,Ditmars Steinway,Entire home_apt,99,0
Manhattan,West Village,Private room,105,92
Queens,Maspeth,Entire home_apt,200,129
Manhattan,Harlem,Private room,58,0
Manhattan,Upper West Side,Private room,100,0
Brooklyn,Bedford-Stuyvesant,Private room,45,0
Brooklyn,Williamsburg,Private room,110,0
Manhattan,Harlem,Entire home_apt,80,0
Manhattan,Washington Heights,Private room,75,0
Manhattan,West Village,Entire home_apt,700,0
Brooklyn,Williamsburg,Entire home_apt,165,0
Brooklyn,Williamsburg,Private room,80,356
Brooklyn,South Slope,Entire home_apt,145,277
Manhattan,Lower East Side,Private room,125,0
Brooklyn,Bushwick,Private room,45,0
Brooklyn,Bedford-Stuyvesant,Private room,30,345
Manhattan,Harlem,Private room,81,334
Brooklyn,Midwood,Entire home_apt,49,179
Brooklyn,Sunset Park,Entire home_apt,225,297
Brooklyn,Bedford-Stuyvesant,Private room,70,255
Brooklyn,Park Slope,Entire home_apt,120,0
Manhattan,East Harlem,Entire home_apt,175,123
Manhattan,Harlem,Entire home_apt,130,0
Brooklyn,Prospect-Lefferts Gardens,Entire home_apt,130,0
Manhattan,Washington Heights,Entire home_apt,150,319
Brooklyn,South Slope,Entire home_apt,95,207
Brooklyn,Bushwick,Entire home_apt,300,217
Queens,Ditmars Steinway,Entire home_apt,180,33
Brooklyn,Bushwick,Entire home_apt,375,217
Brooklyn,Park Slope,Private room,75,0
Manhattan,Hell's Kitchen,Private room,75,239
Manhattan,Kips Bay,Private room,70,0
Manhattan,Lower East Side,Entire home_apt,300,0
Queens,Sunnyside,Private room,60,0
Brooklyn,Park Slope,Private room,60,0
Brooklyn,Gowanus,Private room,158,0
Manhattan,Lower East Side,Entire home_apt,184,273
Manhattan,Washington Heights,Private room,50,0
Manhattan,Chelsea,Entire home_apt,230,0
Manhattan,East Harlem,Private room,95,334
Brooklyn,Flatbush,Entire home_apt,110,205
Manhattan,Harlem,Entire home_apt,120,8
Brooklyn,Bedford-Stuyvesant,Entire home_apt,189,239
Brooklyn,Bedford-Stuyvesant,Entire home_apt,98,0
Manhattan,Gramercy,Entire home_apt,150,38
Brooklyn,Crown Heights,Entire home_apt,100,0
Brooklyn,Williamsburg,Private room,85,154
Manhattan,East Village,Entire home_apt,200,0
Manhattan,Upper West Side,Entire home_apt,450,0
Brooklyn,Williamsburg,Entire home_apt,250,0
Brooklyn,South Slope,Private room,100,0
Queens,Astoria,Private room,40,0
Manhattan,East Harlem,Private room,50,0
Manhattan,Harlem,Private room,80,0
Brooklyn,Flatbush,Entire home_apt,90,0
Brooklyn,Clinton Hill,Entire home_apt,150,22
Brooklyn,Williamsburg,Private room,80,0
Manhattan,Upper West Side,Private room,89,155
Brooklyn,Williamsburg,Private room,90,188
Brooklyn,Bedford-Stuyvesant,Entire home_apt,91,10
Manhattan,Financial District,Private room,85,0
Manhattan,Lower East Side,Entire home_apt,250,166
Queens,Long Island City,Private room,50,107
Manhattan,West Village,Entire home_apt,160,0
Manhattan,Morningside Heights,Private room,60,0
Brooklyn,Prospect-Lefferts Gardens,Entire home_apt,150,0
Brooklyn,Williamsburg,Private room,90,0
Manhattan,Midtown,Entire home_apt,225,0
Queens,Richmond Hill,Entire home_apt,290,277
Brooklyn,Fort Greene,Entire home_apt,95,0
Manhattan,Washington Heights,Entire home_apt,139,0
Brooklyn,Bay Ridge,Entire home_apt,295,19
Manhattan,Lower East Side,Private room,140,187
Manhattan,Upper East Side,Entire home_apt,399,311
Manhattan,Nolita,Private room,100,0
Brooklyn,Williamsburg,Private room,80,0
Manhattan,Upper West Side,Entire home_apt,135,0
Manhattan,Chelsea,Private room,100,0
Brooklyn,Williamsburg,Entire home_apt,175,0
Manhattan,East Harlem,Private room,70,63
Brooklyn,Williamsburg,Private room,50,0
Brooklyn,Bushwick,Private room,52,76
Manhattan,West Village,Private room,140,5
Manhattan,West Village,Entire home_apt,169,0
Brooklyn,South Slope,Entire home_apt,173,0
Brooklyn,Boerum Hill,Entire home_apt,169,4
Brooklyn,Flatlands,Shared room,27,0
Manhattan,Upper West Side,Entire home_apt,150,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,145,0
Manhattan,East Harlem,Private room,70,313
Brooklyn,Prospect-Lefferts Gardens,Entire home_apt,205,0
Manhattan,Murray Hill,Entire home_apt,145,179
Brooklyn,Canarsie,Private room,88,180
Brooklyn,Fort Greene,Entire home_apt,179,0
Brooklyn,Park Slope,Entire home_apt,200,173
Brooklyn,Prospect Heights,Entire home_apt,165,0
Brooklyn,Clinton Hill,Private room,89,0
Manhattan,Harlem,Private room,85,355
Manhattan,Upper East Side,Entire home_apt,240,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,95,0
Brooklyn,Williamsburg,Private room,99,0
Brooklyn,Bushwick,Private room,70,332
Brooklyn,Bushwick,Entire home_apt,99,0
Brooklyn,Williamsburg,Entire home_apt,177,177
Manhattan,East Village,Entire home_apt,120,213
Manhattan,West Village,Entire home_apt,300,0
Manhattan,East Harlem,Private room,40,257
Manhattan,East Village,Entire home_apt,280,0
Queens,Kew Gardens,Private room,59,318
Brooklyn,Bedford-Stuyvesant,Entire home_apt,100,0
Manhattan,Hell's Kitchen,Entire home_apt,150,0
Manhattan,Harlem,Entire home_apt,140,222
Manhattan,Chelsea,Entire home_apt,400,0
Brooklyn,Park Slope,Entire home_apt,250,0
Manhattan,Harlem,Private room,75,0
Brooklyn,Prospect Heights,Entire home_apt,175,286
Manhattan,Harlem,Private room,85,365
Brooklyn,Williamsburg,Private room,125,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,179,274
Manhattan,East Village,Entire home_apt,150,304
Manhattan,East Village,Entire home_apt,197,191
Brooklyn,Clinton Hill,Private room,68,0
Manhattan,Lower East Side,Entire home_apt,150,0
Brooklyn,Gravesend,Private room,69,0
Manhattan,Upper East Side,Entire home_apt,200,0
Manhattan,Hell's Kitchen,Entire home_apt,125,0
Manhattan,Chelsea,Private room,130,106
Manhattan,East Harlem,Private room,97,0
Brooklyn,Bushwick,Shared room,50,365
Brooklyn,Bedford-Stuyvesant,Entire home_apt,175,0
Brooklyn,Williamsburg,Private room,100,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,150,293
Manhattan,Murray Hill,Entire home_apt,145,189
Manhattan,Harlem,Private room,100,0
Manhattan,Hell's Kitchen,Private room,130,0
Queens,Flushing,Private room,45,170
Brooklyn,Clinton Hill,Entire home_apt,600,295
Brooklyn,Williamsburg,Entire home_apt,125,0
Brooklyn,Fort Greene,Entire home_apt,95,0
Manhattan,Nolita,Entire home_apt,130,0
Queens,Long Island City,Private room,44,275
Brooklyn,Bushwick,Entire home_apt,190,0
Manhattan,Lower East Side,Private room,60,0
Brooklyn,South Slope,Entire home_apt,199,0
Brooklyn,Williamsburg,Entire home_apt,49,0
Manhattan,Marble Hill,Private room,45,0
Manhattan,Nolita,Entire home_apt,265,11
Brooklyn,Clinton Hill,Entire home_apt,220,0
Brooklyn,Windsor Terrace,Private room,52,55
Brooklyn,Williamsburg,Entire home_apt,180,0
Manhattan,Upper East Side,Entire home_apt,127,0
Manhattan,East Village,Private room,108,0
Queens,Flushing,Entire home_apt,150,0
Brooklyn,Prospect Heights,Entire home_apt,440,7
Manhattan,Chelsea,Private room,100,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,200,14
Brooklyn,Flatbush,Entire home_apt,175,0
Manhattan,Hell's Kitchen,Entire home_apt,180,2
Manhattan,Chinatown,Entire home_apt,250,5
Bronx,Longwood,Private room,99,0
Brooklyn,Sunset Park,Private room,75,0
Brooklyn,Carroll Gardens,Entire home_apt,150,0
Queens,Sunnyside,Private room,49,128
Manhattan,Chelsea,Entire home_apt,1495,0
Manhattan,East Village,Entire home_apt,100,0
Brooklyn,Williamsburg,Private room,110,0
Queens,Astoria,Private room,45,0
Manhattan,Harlem,Entire home_apt,399,5
Brooklyn,Williamsburg,Private room,103,0
Bronx,Norwood,Private room,33,0
Queens,Rego Park,Entire home_apt,86,0
Queens,Ditmars Steinway,Entire home_apt,110,0
Brooklyn,Bushwick,Entire home_apt,160,359
Queens,Ditmars Steinway,Private room,50,0
Brooklyn,Fort Greene,Private room,55,0
Brooklyn,Park Slope,Private room,100,0
Manhattan,Harlem,Private room,80,203
Queens,Sunnyside,Entire home_apt,85,0
Manhattan,Upper East Side,Private room,100,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,275,5
Manhattan,Midtown,Entire home_apt,450,364
Brooklyn,Crown Heights,Private room,80,0
Manhattan,Upper East Side,Entire home_apt,275,0
Manhattan,Harlem,Entire home_apt,120,0
Manhattan,Upper East Side,Entire home_apt,250,0
Brooklyn,Park Slope,Entire home_apt,250,0
Queens,Astoria,Private room,85,0
Manhattan,East Village,Private room,100,0
Brooklyn,Williamsburg,Private room,65,0
Queens,Flushing,Private room,68,330
Manhattan,Upper East Side,Entire home_apt,170,0
Brooklyn,Bensonhurst,Private room,50,81
Brooklyn,Bushwick,Private room,45,0
Brooklyn,East Flatbush,Private room,48,249
Brooklyn,East Flatbush,Private room,43,347
Brooklyn,East Flatbush,Private room,47,311
Manhattan,Chelsea,Entire home_apt,260,0
Brooklyn,Flatbush,Entire home_apt,75,0
Manhattan,Murray Hill,Shared room,160,365
Bronx,Kingsbridge,Entire home_apt,159,112
Brooklyn,Bedford-Stuyvesant,Private room,50,31
Brooklyn,Prospect-Lefferts Gardens,Entire home_apt,100,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,60,0
Brooklyn,Cobble Hill,Private room,80,0
Brooklyn,Boerum Hill,Entire home_apt,115,18
Manhattan,Chelsea,Entire home_apt,200,0
Queens,Springfield Gardens,Entire home_apt,160,179
Manhattan,Harlem,Entire home_apt,109,0
Brooklyn,Crown Heights,Private room,25,158
Brooklyn,Prospect Heights,Entire home_apt,280,0
Queens,Astoria,Entire home_apt,120,0
Brooklyn,Williamsburg,Entire home_apt,98,0
Brooklyn,Williamsburg,Private room,70,37
Brooklyn,Bedford-Stuyvesant,Private room,55,301
Queens,Ridgewood,Entire home_apt,100,0
Manhattan,Chelsea,Entire home_apt,200,0
Manhattan,Lower East Side,Entire home_apt,120,0
Brooklyn,Greenpoint,Entire home_apt,150,0
Staten Island,Dongan Hills,Entire home_apt,155,0
Brooklyn,Williamsburg,Private room,60,0
Manhattan,Murray Hill,Private room,200,0
Manhattan,Upper East Side,Entire home_apt,200,0
Brooklyn,Williamsburg,Shared room,25,358
Manhattan,West Village,Entire home_apt,199,0
Staten Island,Tompkinsville,Private room,49,284
Manhattan,Morningside Heights,Entire home_apt,105,5
Brooklyn,Bedford-Stuyvesant,Private room,49,69
Manhattan,Upper West Side,Entire home_apt,256,0
Manhattan,NoHo,Entire home_apt,499,223
Brooklyn,Fort Greene,Private room,90,295
Brooklyn,Sunset Park,Entire home_apt,80,142
Brooklyn,Williamsburg,Entire home_apt,180,18
Manhattan,Chelsea,Entire home_apt,145,0
Brooklyn,Williamsburg,Private room,100,0
Brooklyn,Crown Heights,Entire home_apt,150,238
Brooklyn,Kensington,Private room,95,0
Brooklyn,Bedford-Stuyvesant,Private room,55,21
Brooklyn,Williamsburg,Entire home_apt,147,5
Manhattan,Midtown,Entire home_apt,220,24
Manhattan,Morningside Heights,Private room,70,0
Brooklyn,Williamsburg,Entire home_apt,100,0
Manhattan,Upper East Side,Entire home_apt,888,35
Brooklyn,Bedford-Stuyvesant,Private room,40,0
Queens,Astoria,Private room,70,325
Brooklyn,Sunset Park,Private room,150,0
Brooklyn,Greenpoint,Private room,75,0
Brooklyn,Bushwick,Entire home_apt,85,0
Manhattan,East Harlem,Entire home_apt,124,0
Manhattan,Washington Heights,Entire home_apt,89,346
Brooklyn,Brooklyn Heights,Entire home_apt,195,0
Brooklyn,Williamsburg,Entire home_apt,160,193
Manhattan,Harlem,Private room,60,0
Brooklyn,DUMBO,Private room,125,111
Manhattan,West Village,Entire home_apt,225,0
Queens,Astoria,Private room,86,364
Brooklyn,Williamsburg,Entire home_apt,119,0
Brooklyn,Crown Heights,Entire home_apt,70,0
Queens,Astoria,Private room,75,357
Queens,Astoria,Entire home_apt,150,0
Brooklyn,Fort Greene,Entire home_apt,145,0
Brooklyn,Williamsburg,Private room,115,0
Brooklyn,Prospect-Lefferts Gardens,Entire home_apt,130,0
Brooklyn,Bushwick,Private room,53,114
Manhattan,Midtown,Private room,110,0
Manhattan,Upper West Side,Entire home_apt,130,0
Queens,Flushing,Private room,48,153
Queens,Springfield Gardens,Entire home_apt,105,0
Manhattan,Greenwich Village,Entire home_apt,150,0
Queens,Woodhaven,Entire home_apt,65,311
Queens,Ridgewood,Entire home_apt,100,0
Queens,Woodhaven,Private room,39,346
Manhattan,Upper East Side,Entire home_apt,150,0
Brooklyn,Bushwick,Private room,50,0
Manhattan,Washington Heights,Private room,55,0
Manhattan,West Village,Entire home_apt,195,0
Brooklyn,Williamsburg,Entire home_apt,295,0
Manhattan,West Village,Entire home_apt,140,0
Brooklyn,Williamsburg,Private room,45,0
Brooklyn,Bushwick,Private room,50,218
Brooklyn,Bedford-Stuyvesant,Private room,75,0
Manhattan,Little Italy,Private room,110,0
Brooklyn,Bushwick,Private room,64,318
Brooklyn,Prospect-Lefferts Gardens,Private room,75,52
Manhattan,Financial District,Private room,125,0
Manhattan,Upper East Side,Entire home_apt,130,0
Queens,Woodside,Private room,50,0
Brooklyn,Greenpoint,Entire home_apt,270,7
Manhattan,Inwood,Entire home_apt,78,15
Brooklyn,East Flatbush,Entire home_apt,100,342
Manhattan,Hell's Kitchen,Private room,155,248
Manhattan,Hell's Kitchen,Private room,210,249
Brooklyn,Crown Heights,Private room,59,0
Brooklyn,Greenpoint,Entire home_apt,140,0
Brooklyn,Greenpoint,Private room,59,0
Queens,Sunnyside,Entire home_apt,89,0
Manhattan,Inwood,Private room,50,0
Brooklyn,Bedford-Stuyvesant,Private room,85,0
Manhattan,Hell's Kitchen,Private room,155,243
Manhattan,Harlem,Private room,75,354
Brooklyn,Gowanus,Private room,98,236
Manhattan,Upper West Side,Entire home_apt,375,0
Manhattan,Gramercy,Entire home_apt,120,0
Manhattan,Upper East Side,Entire home_apt,150,0
Brooklyn,Williamsburg,Entire home_apt,102,277
Brooklyn,Midwood,Entire home_apt,85,0
Brooklyn,Red Hook,Entire home_apt,80,0
Brooklyn,Red Hook,Private room,35,0
Manhattan,Hell's Kitchen,Private room,255,305
Manhattan,Hell's Kitchen,Private room,245,1
Manhattan,Hell's Kitchen,Private room,155,240
Manhattan,Hell's Kitchen,Private room,155,240
Brooklyn,Flatbush,Private room,148,90
Manhattan,Hell's Kitchen,Private room,155,211
Manhattan,Hell's Kitchen,Private room,165,271
Manhattan,Hell's Kitchen,Private room,155,245
Brooklyn,Williamsburg,Entire home_apt,389,0
Manhattan,Harlem,Private room,65,180
Brooklyn,Williamsburg,Private room,89,0
Brooklyn,Crown Heights,Entire home_apt,250,0
Manhattan,Upper West Side,Private room,125,0
Manhattan,Washington Heights,Private room,81,0
Manhattan,East Village,Private room,80,0
Brooklyn,Crown Heights,Entire home_apt,200,157
Brooklyn,Prospect-Lefferts Gardens,Entire home_apt,130,0
Manhattan,Kips Bay,Entire home_apt,100,0
Brooklyn,Bushwick,Private room,61,102
Manhattan,West Village,Entire home_apt,95,0
Queens,Maspeth,Private room,65,79
Brooklyn,Bedford-Stuyvesant,Private room,40,0
Brooklyn,Flatbush,Entire home_apt,120,0
Brooklyn,Bushwick,Private room,59,218
Manhattan,Battery Park City,Entire home_apt,100,222
Queens,Astoria,Entire home_apt,135,89
Brooklyn,Fort Greene,Private room,50,0
Manhattan,Upper West Side,Entire home_apt,460,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,110,97
Brooklyn,Boerum Hill,Entire home_apt,225,189
Queens,Jackson Heights,Entire home_apt,135,0
Brooklyn,Clinton Hill,Entire home_apt,125,0
Brooklyn,Bushwick,Private room,64,0
Brooklyn,Bushwick,Private room,58,147
Manhattan,Washington Heights,Private room,69,0
Manhattan,Upper East Side,Private room,59,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,177,260
Brooklyn,Bushwick,Entire home_apt,150,0
Brooklyn,Williamsburg,Private room,69,0
Brooklyn,Fort Greene,Entire home_apt,275,146
Manhattan,Chelsea,Private room,99,0
Brooklyn,Williamsburg,Private room,65,0
Manhattan,Upper East Side,Entire home_apt,135,0
Manhattan,West Village,Entire home_apt,150,0
Manhattan,Lower East Side,Entire home_apt,2000,365
Brooklyn,Bedford-Stuyvesant,Entire home_apt,90,190
Brooklyn,Williamsburg,Private room,59,0
Brooklyn,Carroll Gardens,Entire home_apt,275,0
Manhattan,Lower East Side,Entire home_apt,215,0
Brooklyn,Flatbush,Entire home_apt,70,222
Manhattan,Lower East Side,Private room,135,0
Manhattan,Upper West Side,Entire home_apt,200,0
Manhattan,Upper East Side,Entire home_apt,120,0
Brooklyn,Williamsburg,Entire home_apt,85,13
Manhattan,Morningside Heights,Private room,82,0
Manhattan,Washington Heights,Entire home_apt,105,0
Brooklyn,Williamsburg,Private room,52,0
Brooklyn,Prospect-Lefferts Gardens,Entire home_apt,250,0
Manhattan,Washington Heights,Private room,145,3
Brooklyn,Carroll Gardens,Private room,40,0
Manhattan,Greenwich Village,Entire home_apt,245,307
Brooklyn,Greenpoint,Entire home_apt,120,0
Manhattan,Chelsea,Entire home_apt,150,318
Manhattan,Lower East Side,Entire home_apt,250,0
Brooklyn,Williamsburg,Entire home_apt,295,0
Brooklyn,Williamsburg,Entire home_apt,125,11
Brooklyn,Bedford-Stuyvesant,Entire home_apt,120,0
Brooklyn,Greenpoint,Private room,40,0
Brooklyn,Bedford-Stuyvesant,Private room,55,0
Manhattan,Financial District,Entire home_apt,130,0
Manhattan,East Harlem,Private room,110,44
Manhattan,Harlem,Private room,185,155
Brooklyn,DUMBO,Entire home_apt,245,0
Manhattan,Midtown,Entire home_apt,700,63
Brooklyn,Park Slope,Entire home_apt,215,0
Brooklyn,Gowanus,Entire home_apt,250,300
Manhattan,Kips Bay,Entire home_apt,150,0
Brooklyn,Bedford-Stuyvesant,Private room,80,0
Manhattan,Lower East Side,Private room,89,252
Manhattan,East Village,Entire home_apt,244,1
Brooklyn,Williamsburg,Private room,74,18
Brooklyn,Crown Heights,Entire home_apt,88,0
Manhattan,Lower East Side,Entire home_apt,150,0
Brooklyn,East Flatbush,Entire home_apt,150,320
Manhattan,Harlem,Private room,40,345
Manhattan,Upper West Side,Entire home_apt,150,0
Queens,Astoria,Private room,55,0
Manhattan,Upper West Side,Entire home_apt,259,0
Manhattan,Nolita,Private room,100,0
Brooklyn,Greenpoint,Entire home_apt,125,0
Brooklyn,Flatbush,Entire home_apt,85,0
Manhattan,Harlem,Private room,75,0
Manhattan,Hell's Kitchen,Private room,190,0
Manhattan,Lower East Side,Entire home_apt,198,0
Queens,Astoria,Entire home_apt,300,365
Manhattan,Chelsea,Entire home_apt,295,175
Brooklyn,Bushwick,Private room,50,0
Brooklyn,Bedford-Stuyvesant,Private room,35,0
Brooklyn,Williamsburg,Private room,80,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,200,0
Brooklyn,Greenpoint,Private room,110,0
Brooklyn,Flatbush,Private room,40,82
Manhattan,Hell's Kitchen,Entire home_apt,95,0
Brooklyn,Williamsburg,Private room,75,0
Manhattan,Hell's Kitchen,Entire home_apt,199,4
Manhattan,Harlem,Private room,50,0
Brooklyn,Gravesend,Entire home_apt,109,73
Brooklyn,Sheepshead Bay,Entire home_apt,120,334
Brooklyn,Flatbush,Private room,50,17
Brooklyn,Greenpoint,Entire home_apt,95,0
Manhattan,Midtown,Entire home_apt,180,177
Brooklyn,Williamsburg,Private room,100,345
Manhattan,Kips Bay,Entire home_apt,350,0
Brooklyn,Midwood,Entire home_apt,89,251
Manhattan,East Harlem,Private room,80,306
Queens,Woodside,Entire home_apt,125,246
Brooklyn,Bushwick,Entire home_apt,155,250
Brooklyn,Williamsburg,Private room,62,0
Manhattan,Harlem,Entire home_apt,93,0
Brooklyn,Bushwick,Private room,80,249
Brooklyn,Crown Heights,Entire home_apt,65,0
Brooklyn,Flatbush,Entire home_apt,120,1
Brooklyn,Clinton Hill,Entire home_apt,450,0
Manhattan,Chelsea,Entire home_apt,155,289
Queens,Jamaica,Private room,53,348
Manhattan,Upper West Side,Entire home_apt,150,0
Manhattan,Washington Heights,Private room,45,0
Queens,Ridgewood,Private room,85,0
Brooklyn,Windsor Terrace,Private room,59,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,122,293
Brooklyn,Bushwick,Private room,75,0
Queens,Rego Park,Private room,80,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,105,0
Brooklyn,Bushwick,Private room,47,144
Queens,Ditmars Steinway,Entire home_apt,75,0
Brooklyn,Bushwick,Private room,47,259
Manhattan,Stuyvesant Town,Private room,45,0
Manhattan,East Village,Private room,100,0
Queens,Elmhurst,Private room,85,0
Manhattan,Hell's Kitchen,Entire home_apt,269,11
Manhattan,Upper West Side,Entire home_apt,70,0
Brooklyn,Williamsburg,Private room,90,37
Manhattan,Harlem,Private room,172,0
Brooklyn,Williamsburg,Entire home_apt,160,0
Manhattan,West Village,Entire home_apt,198,0
Manhattan,East Village,Entire home_apt,154,0
Brooklyn,Greenpoint,Entire home_apt,230,272
Brooklyn,Cobble Hill,Entire home_apt,285,19
Brooklyn,Williamsburg,Entire home_apt,180,0
Manhattan,Harlem,Private room,90,0
Manhattan,Harlem,Private room,120,0
Manhattan,Greenwich Village,Private room,60,0
Manhattan,Lower East Side,Entire home_apt,99,0
Manhattan,East Harlem,Entire home_apt,111,0
Brooklyn,Bushwick,Private room,40,0
Brooklyn,Flatbush,Private room,35,157
Manhattan,Little Italy,Private room,95,0
Brooklyn,Williamsburg,Private room,89,0
Manhattan,Upper East Side,Entire home_apt,195,304
Brooklyn,Bedford-Stuyvesant,Entire home_apt,139,281
Manhattan,Harlem,Private room,75,20
Queens,Astoria,Entire home_apt,100,0
Brooklyn,Greenpoint,Entire home_apt,149,0
Queens,Astoria,Private room,55,0
Manhattan,Upper East Side,Entire home_apt,900,340
Brooklyn,Williamsburg,Entire home_apt,199,0
Brooklyn,Bushwick,Private room,70,0
Brooklyn,Windsor Terrace,Private room,65,0
Manhattan,Kips Bay,Shared room,800,0
Manhattan,Harlem,Private room,43,324
Brooklyn,Park Slope,Entire home_apt,229,0
Manhattan,East Village,Entire home_apt,195,0
Brooklyn,Greenpoint,Entire home_apt,150,0
Bronx,Mott Haven,Entire home_apt,100,284
Manhattan,Tribeca,Entire home_apt,700,0
Manhattan,Upper West Side,Entire home_apt,150,0
Manhattan,Hell's Kitchen,Entire home_apt,300,0
Manhattan,Kips Bay,Private room,100,0
Brooklyn,Williamsburg,Private room,50,0
Manhattan,Upper East Side,Entire home_apt,140,0
Manhattan,Midtown,Entire home_apt,175,0
Manhattan,Upper West Side,Entire home_apt,185,0
Brooklyn,Williamsburg,Private room,73,0
Brooklyn,South Slope,Entire home_apt,250,0
Manhattan,Upper West Side,Private room,89,0
Manhattan,Chelsea,Entire home_apt,800,0
Manhattan,Upper West Side,Private room,89,0
Manhattan,Chelsea,Entire home_apt,250,0
Manhattan,Chelsea,Entire home_apt,220,54
Manhattan,Chelsea,Private room,135,0
Brooklyn,Fort Greene,Entire home_apt,160,356
Brooklyn,Williamsburg,Private room,93,0
Queens,Ditmars Steinway,Entire home_apt,110,0
Manhattan,Harlem,Entire home_apt,76,0
Queens,Astoria,Entire home_apt,105,0
Brooklyn,Fort Greene,Entire home_apt,120,0
